Cites,Authors,Year
32,"SS Nunes|JG Maijub|L Krishnan|VM Ramakrishnan|LR Clayton",2013
29,"CC Chang|SS Nunes|SC Sibole|L Krishnan|SK Williams|JA Weiss",2009
26,"SS Nunes|H Rekapally|CC Chang|JB Hoying",2011
24,"N Thavandiran|SS Nunes|Y Xiao|M Radisic",2013
23,"X Sun|SS Nunes",2016
23,"TR Alves|ACC da Fonseca|SS Nunes|AO da Silva|LGF Dubois|J Faria",2011
22,"NL Boyd|SS Nunes|L Krishnan|JD Jokinen|VM Ramakrishnan",2012
16,"X Sun|SS Nunes",2015
12,"L Krishnan|CC Chang|SS Nunes|SK Williams|JA Weiss|JB Hoying",2013
6,"X Sun|SS Nunes",2017
6,"SS Nunes|N Feric|A Pahnke|JW Miklas|M Li|J Coles|M Gagliardi",2016
6,"SS Nunes|JW Miklas|M Radisic",2013
5,"X Sun|S Evren|SS Nunes",2015
3,"X Sun|SS Nunes",2017
3,"C Martin|A Sofia|B Zhang|SS Nunes|M Radisic",2013
2,"S Nunes|IB Silva|MR Ampuero|ALL Noronha|LCL Souza|TC Correia",2018
2,"JW Miklas|SS Nunes|B Zhang|M Radisic",2014
2,"JW Miklas|SS Nunes|M Radisic",2013
1,"W Altalhi|X Sun|JM Sivak|M Husain|SS Nunes",2017
1,"B Zhang|M Montgomery|A Pahnke|L Reis|SS Nunes|M Radisic",2013
895,"W Ye|K Shimamura|JLR Rubenstein|MA Hynes",1998
366,"LH Parker|M Schmidt|SW Jin|AM Gray|D Beis",2004
242,"T Tang|L Li|J Tang|Y Li|WY Lin|F Martin",2010
237,"HJ Junge|S Yang|JB Burton|K Paes|X Shu",2009
196,"W Ye|N Ali|ME Bembenek|SB Shears",1995
198,"DM Stone|M Murone|S Luoh|W Ye|MP Armanini",1999
196,"M Schmidt|K Paes|A De Mazière|T Smyczek",2007
196,"Z Jiang|S Jhunjhunwala|J Liu|PM Haverty",2012
162,"M Hynes|W Ye|K Wang|D Stone|M Murone",2000
161,"M van Lookeren Campagne|J LeCouter",2014
141,"F Oakley|N Trim|CM Constandinou|W Ye",2003
144,"SE Craven|KC Lim|W Ye|JD Engel",2004
131,"W Ye|M Bouchard|D Stone|X Liu|F Vella|J Lee",2001
110,"SE Craven|D French|W Ye|F de Sauvage",2005
81,"M Evangelista|TY Lim|J Lee|L Parker|A Ashique",2008
75,"W Ye|EM Lafer",1995
67,"Y Wu|W Ye|JB Burton|C Chiu",2018
64,"C Campa|I Kasman|W Ye|WP Lee",2008
62,"CS Aung|W Ye|G Plowman|AA Peters",2009
55,"P Vitorino|S Yeung|A Crow|J Bakke|T Smyczek",2015
49,"A De Mazière|L Parker|S Van Dijk",2008
49,W Ye,2016
50,"A Gogineni|M Caunt|A Crow|CV Lee|G Fuh",2013
42,"CW Wilson|LH Parker|CJ Hall|T Smyczek|J Mak",2013
38,"A Rosenthal|MA Hynes|W Ye",2001
33,"K Baker|N Ferrara|H Gerber|M Gerritsen",2003
30,"M Schmidt|A De Mazière|T Smyczek",2007
30,"TD Crawford|CO Ndubaku|H Chen",2014
27,"D Sampath|J Oeh|SK Wyatt|TC Cao|H Koeppen",2013
24,"L Johnson|M Huseni|T Smyczek",2013
22,"K Baker|N Ferrara|H Gerber|M Gerritsen",2004
23,"CW Wilson|W Ye",2014
18,"CO Ndubaku|TD Crawford|H Chen",2015
16,"K Baker|N Ferrara|H Gerber|M Gerritsen",2003
16,"L Wang|M Stanley|JW Boggs|TD Crawford",2014
16,"K Baker|N Ferrara|H Gerber|M Gerritsen",2003
13,"J Brennan|FJ De Sauvage|E Filvaroff",2008
12,"HJ Junge|W Ye",2010
11,"WC Liang|GD Plowman|Y Wu|W Ye",2011
11,"A Chuntharapai|GD Plowman",2009
10,"E Filvaroff|W Ye|L Parker|JA Hongo",2007
10,"R García‐Carbonero|E van Cutsem|F Rivera",2017
10,"AAB Horner|CB Clarke|KE Combs",2011
10,"W Ye|MS Dennis|J Fredrickson",2013
6,"YYTMQ Weilan|DYS Ke",2004
6,"K Baker|N Ferrara|HP Gerber|M Gerritsen",2003
6,"K Baker|N Ferrara|H Gerber|M Gerritsen",2003
5,"W Ye|M Schmidt|JA Hongo|Y Wu",2013
4,"E Filvaroff|W Ye|LH Parker IV|JAS Hongo",2009
4,"A Chuntharapai|GD Plowman",2013
4,"J von Pawel|DR Spigel|T Ervin|G Losonczy",2018
4,"K Baker|N Ferrara|H Gerber|M Gerritsen",2003
3,"W Ye|M Schmidt|JA Hongo|Y Wu",2010
3,"WC Liang|GD Plowman|Y Wu|W Ye",2009
3,"KP Baker|N Ferrara|H Gerber|ME Gerritsen",2006
2,"S Yeung|T Smyczek|J Cheng|A Lima|R Molina",2011
3,"ND Stanković|F Bicker|S Keller",2018
2,"K Baker|N Ferrara|H Gerber|M Gerritsen",2003
1,"WC Liang|GD Plowman|Y Wu|W Ye",2015
1,"K Baker|N Ferrara|H Gerber|M Gerritsen",2003
1,"W Ye|M Dennis|J Fredrickson",2013
1,"WC Liang|GD Plowman|Y Wu|W Ye",2012
1,"WC Liang|GD Plowman|Y Wu|W Ye",2014
1,"WC Liang|GD Plowman|Y Wu|W Ye",2012
1,"F De Sauvage|D French|L Gonzalez",2012
1,"CD Weekes|LS Rosen|A Capasso|KM Wong",2018
1,"A Chuntharapai|GD Plowman",2014
1,"KE Combs|LL Culbertson|F De Sauvage",2012
1,"Y Wu|W Ye|JB Burton|C Chiu",2016
564,"L David|C Mallet|S Mazerbourg|JJ Feige|S Bailly",2007
338,"L David|C Mallet|M Keramidas|N Lamandé|JM Gasc|S Dupuis-Girod",2008
269,"L David|JJ Feige|S Bailly",2009
242,"S Dupuis-Girod|I Ginon|JC Saurin|D Marion|E Guillot|E Decullier",2012
242,"S Lamouille|C Mallet|JJ Feige|S Bailly",2002
172,"N Ricard|D Ciais|S Levet|M Subileau|C Mallet|TA Zimmers|SJ Lee",2012
136,"C Elbim|S Bailly|S Chollet-Martin|J Hakim|MA Gougerot-Pocidalo",1994
135,"S Dupuis‐Girod|S Bailly|H Plauchu",2010
128,"D Ciais|N Cherradi|S Bailly|E Grenier|E Berra|J Pouyssegur|J LaMarre",2004
126,"S Bailly|B Ferrua|M Fay|MA Gougerot-Pocidalo",1990
108,"M Bidart|N Ricard|S Levet|M Samson|C Mallet|L David|M Subileau",2012
103,"C Elbim|S Chollet-Martin|S Bailly|J Hakim|MA Gougerot-Pocidalo",1993
84,"C Mallet|D Vittet|JJ Feige|S Bailly",2006
81,"S Levet|D Ciais|G Merdzhanova|C Mallet|TA Zimmers|SJ Lee",2013
81,"S Bailly|FS Di Giovine|AIF Blakemore|GW Duff",1993
72,"S Bailly|M Fay|Y Roche|MA Gougerot-Pocidalo",1990
71,"TC Araújo-Jorge|MC Waghabi|CS Maria de Nazaré|M Keramidas",2008
71,"C Brand|N Cherradi|G Defaye|A Chinn|EM Chambaz|JJ Feige|S Bailly",1998
69,"TC Araújo-Jorge|MC Waghabi|AM Hasslocher-Moreno|SS Xavier",2002
68,"N Ricard|M Bidart|C Mallet|G Lesca|S Giraud|R Prudent|JJ Feige",2010
68,"L David|C Mallet|B Vailhé|S Lamouille|JJ Feige|S Bailly",2007
67,"S Chollet‐Martin|G Stamatakis|S Bailly|JP Mery|MA Gougerot‐Pocidalo",1991
56,"S Bailly|JJ Pocidalo|M Fay|MA Gougerot-Pocidalo",1991
55,"S Bailly|N Israël|M Fay|MA Gougerot-Pocidalo|GW Duff",1996
54,"AG de Vinuesa|S Abdelilah-Seyfried|P Knaus|A Zwijsen|S Bailly",2016
53,"E Tillet|S Bailly",2015
53,"MC Waghabi|M Keramidas|JJ Feige|TC Araujo‐Jorge|S Bailly",2005
51,"JJ Feige|I Vilgrain|C Brand|S Bailly|S Souchelnitskiy",1998
49,"S Bailly|M Fay|B Ferrua|MA Gougerot‐Pocidalo",1991
48,"MC Waghabi|EM de Souza|GM de Oliveira|M Keramidas|JJ Feige",2009
46,"AM Chinn|D Ciais|S Bailly|E Chambaz|J LaMarre|JJ Feige",2002
46,"S Bailly|Y Mahe|B Ferrua|M Fay|T Tursz|H Wakasugi",1990
45,"TC Araújo‐Jorge|MC Waghabi|S Bailly|JJ Feige",2012
40,"S Bailly|C Brand|EM Chambaz|JJ Feige",1997
39,"MC Waghabi|M Keramidas|CM Calvet|M Meuser|CS Maria de Nazaré",2007
38,"S Bailly|M Fay|N Israel|MA Gougerot-Pocidalo",1996
38,"S Bailly|FS di Giovine|GW Duff",1993
37,"FL de Oliveira|TC Araújo-Jorge|EM de Souza|GM de Oliveira",2012
35,"MC Waghabi|M Keramidas|S Bailly|W Degrave|L Mendonça-Lima",2005
33,"MJ Goumans|A Zwijsen|P Ten Dijke|S Bailly",2018
33,"S Levet|M Ouarné|D Ciais|C Coutton|M Subileau|C Mallet|N Ricard",2015
31,"C Brand|S Souchelnytskiy|EM Chambaz|JJ Feige|S Bailly",1998
30,"FSD Giovine|S Bailly|J Bootman|N Almond|GW Duff",1994
29,"C Mallet|K Lamribet|S Giraud|S Dupuis-Girod|JJ Feige|S Bailly|E Tillet",2014
27,"MA Gougerot-Pocidalo|Y Roche|M Fay|A Perianin|S Bailly",1989
26,"S Bailly|B Ferrua|M Fay|MA Gougerot-Pocidalo",1990
21,"N Azzopardi|S Dupuis-Girod|D Ternant|AE Fargeton|I Ginon|F Faure",2015
21,"PM Ferrão|CM d'Avila-Levy|TC Araujo-Jorge|WM Degrave",2015
19,"C Guignabert|S Bailly|M Humbert",2017
19,"C Brand|D Nury|EM Chambaz|JJ Feige|S Bailly",2000
16,"S Bailly|M Fay|MA Gougerot-Pocidalo",1993
14,"S Bailly|M Fay|B Ferrua|MA Gougerot-Pocidalo",1994
13,"S Bailly|S Dupuis-Girod|H Plauchu",2010
12,"FA el Din|S Patri|V Thoreau|M Rodriguez-Ballesteros|E Hamade",2015
11,"E Tillet|M Ouarné|A Desroches-Castan|C Mallet|M Subileau|R Didier",2018
10,"RR Ferreira|EM de Souza|FL de Oliveira|PM Ferrão|LHF Gomes",2016
10,"C Rebut‐Bonneton|S Bailly|C Pasquier",1988
9,S Bailly,2008
8,"D Vittet|G Merdzhanova|MH Prandini|JJ Feige|S Bailly",2012
7,"JJ Feige|S Bailly",2000
6,"S Bailly|G Hayem|M Fay|MF Kahn|MA Gougerot-Pocidalo",1995
5,"L Tu|A Desroches-Castan|C Mallet|L Guyon|A Cumont|C Phan",2019
5,"C Brand|S Bailly|G Defaye|EM Chambaz|JJ Feige",1998
3,"M Ouarné|C Bouvard|G Boneva|C Mallet|J Ribeiro",2018
3,"S Bailly|M Fay|MA GOUGEROT-POCIDALO",1990
2,"A Desroches‐Castan|E Tillet|N Ricard|M Ouarné|C Mallet|L Belmudes",2019
2,"RR Ferreira|FS Madeira|GF Alves|MC Chambela|EOV Curvo",2018
2,S Bailly,2014
2,"C Vermeulen|D Callemien|S Bailly|S Collin",2005
2,"C ELBIM|S CHOLLET-MARTIN|S RALLY|J HAKIM",1993
2,"S Bailly|M Fay|MA Gougerot-Pocidalo",1990
1,"T Daubon|C Léon|K Clarke|L Andrique|L Salabert|E Darbo|R Pineau",2019
1,"S Dupuis-Girod|I Ginon|JC Saurin|D Marion|E Guillot|E Decullier",2018
1,"A Sekine|L Tu|C Mallet|J Bordenave|R Thuillet|C Phan|PB Poble",2017
1,"N Ricard|S Levet|D Ciais|M Subileau|C Mallet|T Zimmers|SJ Lee",2013
1,"S Bailly|S Dupuis-Girod|H Plauchu",2010
1,"S Dupuis-Girod|S Bailly",2010
1,"SS XAVIER|JJ FEIGE|MC WAGHABI|M KERAMIDAS|ML HIGUCHI",2002
31,"MJE Kuijpers|S de Witt|R Nergiz-Unal",2014
52,"MMY Sung|DPY Koonen|CLM Soltys",2011
39,"S Robertson|ES Colombo|SN Lucas",2013
315,"DPY Koonen|RL Jacobs|M Febbraio|ME Young",2007
206,"J Yang|N Sambandam|X Han|RW Gross",2007
16,"MM Sung|NJ Byrne|TT Kim|J Levasseur",2017
40,"J Nagendran|T Pulinilkunnil|PC Kienesberger",2013
141,"M Kuang|M Febbraio|C Wagg|GD Lopaschuk",2004
97,"DPY Koonen|M Febbraio|S Bonnet|J Nagendran",2007
55,"DPY Koonen|MMY Sung|CKC Kao|VW Dolinsky",2010
84,"CG Wilson|JL Tran|DM Erion|NB Vera",2015
39,"F Sheedfar|MMY Sung|M Aparicio-Vergara",2014
11,"MJ Castleman|M Febbraio|PR Hall",2015
13,"A Basu|D Poddar|P Robinet|JD Smith",2014
20,"PM Brown|DJ Kennedy|RE Morton|M Febbraio",2015
6,"DN Huynh|VL Bessi|L Ménard|J Piquereau",2017
4,"M Berger|K Wraith|C Woodward|A Aburima|Z Raslan",2019
1,"M Sung|N Byrne|J Levasseur|G Masson",2015
8,"D Clark|M Febbraio|L Levin",2017
3,"RP Thylur|X Wu|NM Gowda|K Punnath",2017
4,"Y Berlin-Broner|M Febbraio",2017
1,"S Cho|M Febbraio",2014
39,"PI Imoukhuede|AS Popel",2014
27,"JC Weddell|PI Imoukhuede",2014
17,"|FT Lee-Montiel|RH Ewoldt|PI Imoukhuede",2014
45,"PI Imoukhuede|AS Popel",2012
34,"|X Sha|X Li|AL Cannella|PI Imoukhuede",2015
17,"JC Weddell|JH Kwack|PI Imoukhuede|A Masud",2015
6,"|JR Amos|PI Imoukhuede",2015
17,"FT Lee-Montiel|PI Imoukhuede",2013
15,"FT Lee-Montiel|P Li|PI Imoukhuede",2015
4,"S Chen|T Le|PI Imoukhuede",2018
2,"|K Schultheis|V Naumovski|PI Imoukhuede",2016
1,"DM Rosch|PI Imoukhuede",2016
46,"PI Imoukhuede|AO Dokun|BH Annex",2013
15,"|X Guo|O Imarenezor|PI Imoukhuede",2015
1,"A Ansari|PI Imoukhuede",2018
9,"|P Gupta|G Conard|J Parkin|PI Imoukhuede",2017
8,"JC Weddell|S Chen|PI Imoukhuede",2017
12,"|A Palasz|A Wittenkeller|M Kumar|PI Imoukhuede",2017
7,"JC Weddell|PI Imoukhuede",2017
1071,"GE Davis|DR Senger",2005
749,"M Manthorpe|E Engvall|E Ruoslahti|FM Longo|GE Davis|S Varon",1983
548,"J Xu|D Rodriguez|E Petitclerc|JJ Kim|M Hangai|SM Yuen|GE Davis",2001
467,"M Kamei|WB Saunders|KJ Bayless|L Dye|GE Davis|BM Weinstein",2006
431,"SE Bell|A Mavila|R Salazar|KJ Bayless|S Kanagala|SA Maxwell",2001
411,"AN Stratman|KM Malotte|RD Mahan|MJ Davis|GE Davis",2009
404,"GE Davis|KJ Bayless|MJ Davis|GA Meininger",2000
391,"GE Davis|CW Camarillo",1996
369,GE Davis,1992
327,"KJ Bayless|R Salazar|GE Davis",2000
321,"E Engvall|GE Davis|K Dickerson|E Ruoslahti|S Varon|M Manthorpe",1986
301,"RG Jenkins|X Su|G Su|CJ Scotton|E Camerer|GJ Laurent|GE Davis",2006
288,"WB Saunders|BL Bohnsack|JB Faske|NJ Anthis|KJ Bayless|KK Hirschi",2006
284,"ML Iruela-Arispe|GE Davis",2009
277,"KJ Whitehead|AC Chan|S Navankasattusas|W Koh|NR London|J Ling",2009
277,"GE Davis|KJ Bayless|A Mavila",2002
262,"KJ Bayless|GE Davis",2002
261,"FM Longo|EG Hayman|GE Davis|E Ruoslahti|E Engvall|M Manthorpe",1984
257,"KJ Bayless|GA Meininger|JM Scholtz|GE Davis",1998
236,"GE Davis|KA Pintar|RS Allen|SA Maxwell",2001
235,"KR Gehlsen|GE Davis|P Sriramarao",1992
216,GE Davis,1992
206,"WB Saunders|KJ Bayless|GE Davis",2005
196,"W Koh|RD Mahan|GE Davis",2008
194,"X Wu|JE Mogford|SH Platts|GE Davis|GA Meininger|MJ Davis",1998
192,"GE Davis|CW Camarillo",1995
190,"AN Stratman|AE Schwindt|KM Malotte|GE Davis",2010
188,"DR Senger|GE Davis",2011
183,"AN Stratman|WB Saunders|A Sacharidou|W Koh|KE Fisher",2009
183,"SA Maxwell|GE Davis",2000
180,"GE Davis|SN Blaker|E Engvall|S Varon|M Manthorpe|FH Gage",1987
177,"MJ Davis|XIN Wu|TR Nurkiewicz|J Kawasaki|GE Davis|MA Hill",2001
174,"KJ Bayless|GE Davis",2003
173,"X Wu|GE Davis|GA Meininger|E Wilson|MJ Davis",2001
167,"JE Mogford|GE Davis|SH Platts|GA Meininger",1996
164,"W Koh|AN Stratman|A Sacharidou|GE Davis",2008
163,"GE Davis|M Manthorpe|E Engvall|S Varon",1985
161,"LA Martinez-Lemus|X Wu|E Wilson|MA Hill|GE Davis|MJ Davis",2003
150,"O Dowling|A Difeo|MC Ramirez|T Tukel|G Narla|L Bonafe|H Kayserili",2003
145,"A Lanahan|X Zhang|A Fantin|Z Zhuang|F Rivera-Molina|K Speichinger",2013
143,"HJL Fryer|GE Davis|M Manthorpe|S Varon",1986
139,"JJ Grzesiak|GE Davis|D Kirchhofer|MD Pierschbacher",1992
136,"C Schrimpf|C Xin|G Campanholle|SE Gill|W Stallcup|SL Lin|GE Davis",2012
136,"AL Siegel|K Atchison|KE Fisher|GE Davis|DDW Cornelison",2009
136,"Z Sun|LA Martinez-Lemus|A Trache|JP Trzeciakowski|GE Davis|U Pohl",2005
134,"GE Davis|W Koh|AN Stratman",2007
132,"AN Stratman|GE Davis",2012
132,"GE Davis|AN Stratman|A Sacharidou|W Koh",2011
131,"GE Davis|KJ Bayless",2003
125,"K Xu|A Sacharidou|S Fu|DC Chong|B Skaug|ZJ Chen|GE Davis",2011
124,"KJ Bayless|GE Davis",2004
117,"GE Davis|WB Saunders",2006
115,"A Sacharidou|W Koh|AN Stratman|AM Mayo|KE Fisher|GE Davis",2010
115,"KJ Bayless|GE Davis",2001
114,"KR Waitkus-Edwards|LA Martinez-Lemus|X Wu|JP Trzeciakowski",2002
114,"GE Davis|SM Black|KJ Bayless",2000
112,"GE Davis|S Varon|E Engvall|M Manthorpe",1985
103,"GE Davis|DR Senger",2008
102,"AN Stratman|MJ Davis|GE Davis",2011
99,"KE Fisher|A Pop|W Koh|NJ Anthis|WB Saunders|GE Davis",2006
95,"P Gui|X Wu|S Ling|SC Stotz|RJ Winkfein|E Wilson|GE Davis|AP Braun",2006
94,"KJ Bayless|GE Davis|GA Meininger",1997
90,"KE Fisher|A Sacharidou|AN Stratman|AM Mayo|SB Fisher|RD Mahan",2009
84,"A Sacharidou|AN Stratman|GE Davis",2012
84,"G D'Angelo|JE Mogford|GE Davis|MJ Davis|GA Meininger",1997
83,"AC Chan|SG Drakos|OE Ruiz|ACH Smith|CC Gibson|J Ling|SF Passi",2011
78,"W Koh|K Sachidanandam|AN Stratman|A Sacharidou|AM Mayo",2009
78,"R Salazar|SE Bell|GE Davis",1999
78,"M Filutowicz|G Davis|A Greener|DR Helinski",1985
75,"V Nelson|GE Davis|SA Maxwell",2001
75,"HPM Montz|GE Davis|SD Skaper|M Manthorpe|S Varon",1985
65,"M Simons|K Alitalo|BH Annex|HG Augustin|C Beam|BC Berk|T Byzova",2015
65,"TA Townsend|JL Wrana|GE Davis|JV Barnett",2008
65,"GE Davis|CW Camarillo",1993
63,"P Nowak-Sliwinska|K Alitalo|E Allen|A Anisimov|AC Aplin|R Auerbach",2018
62,"L Yuan|A Le Bras|A Sacharidou|K Itagaki|Y Zhan|M Kondo",2012
61,"JE Mogford|GE Davis|GA Meininger",1997
60,"DM Barry|K Xu|SM Meadows|Y Zheng|PR Norden|GE Davis|O Cleaver",2015
60,"A Rivera|A Mavila|KJ Bayless|GE Davis|SA Maxwell",2006
60,"GE Davis|BM Martin",1990
59,"MD Covington|KJ Bayless|RC Burghardt|GE Davis|AR Parrish",2005
56,"X Wu|Y Yang|P Gui|Y Sohma|GA Meininger|GE Davis|AP Braun",2008
56,"GE Davis|M Manthorpe|S Varon",1985
55,"TB Carnow|M Manthorpe|GE Davis|S Varon",1985
51,"A Verma|GE Davis|GM Ihler",2000
48,"L Yuan|A Sacharidou|AN Stratman|A Le Bras|PJ Zwiers|K Spokes",2011
46,GE Davis,1991
46,"GE Davis|E Engvall|S Varon|M Manthorpe",1987
45,"K Unsicker|SD Skaper|GE Davis|M Manthorpe|S Varon",1985
44,"FH Gage|SN Blaker|GE Davis|E Engvall|S Varon|M Manthorpe",1988
43,"N Danielsen|H Müller|B Pettmann|LR Williams|GE Davis|E Engvall",1988
42,GE Davis,2010
40,"JS Rudge|GE Davis|M Manthorpe|S Varon",1987
39,"J Kawasaki|GE Davis|MJ Davis",2004
38,"S Varon|M Manthorpe|GE Davis|LR Williams|SD Skaper",1988
37,"A Verma|GE Davis|GM Ihler",2001
37,"GE Davis|FG Klier|E Engvall|C Cornbrooks|S Varon|M Manthorpe",1987
36,"DJ Kim|LA Martinez-Lemus|GE Davis",2013
34,"Y Yang|X Wu|P Gui|J Wu|JZ Sheng|S Ling|AP Braun|GE Davis",2010
33,"X Zheng|C Xu|AO Smith|AN Stratman|Z Zou|B Kleaveland|L Yuan",2012
30,"W Pan|VN Pham|AN Stratman|D Castranova|M Kamei|KR Kidd|BD Lo",2012
30,"S Joshi|RS Guleria|J Pan|KJ Bayless|GE Davis|D Dipette|US Singh",2006
29,"AO Smith|SLK Bowers|AN Stratman|GE Davis",2013
29,"N Lakshman|A Kim|KJ Bayless|GE Davis|WM Petroll",2007
28,"JT Chao|P Gui|GW Zamponi|GE Davis|MJ Davis",2010
27,"GE Davis|PR Norden|SLK Bowers",2015
26,"KT Morin|AO Smith|GE Davis|RT Tranquillo",2013
26,"P Gui|JT Chao|X Wu|Y Yang|GE Davis|MJ Davis",2010
26,"GE Davis|JS Thomas|S Madden",1997
25,"GE Davis|SD Skaper|M Manthorpe|G Moonen|S Varon",1984
23,"PR Norden|DJ Kim|DM Barry|OB Cleaver|GE Davis",2016
21,"GE Davis|DJ Kim|CX Meng|PR Norden|KR Speichinger|MT Davis",2013
20,"DM Barry|Y Koo|PR Norden|LA Wylie|K Xu|C Wichaidit|DB Azizoglu",2016
19,"M Simons|K Alitalo|BH Annex|HG Augustin|C Beam|BC Berk|T Byzova",2015
19,"N Mackman|GE Davis",2011
18,"M Manthorpe|GE Davis|S Varon",1985
17,"SA Maxwell|GE Davis",2000
15,"GE Davis|M Manthorpe|LR Williams|S Varon",1986
14,"Y Koo|DM Barry|K Xu|K Tanigaki|GE Davis|C Mineo|O Cleaver",2016
13,"SLK Bowers|CX Meng|MT Davis|GE Davis",2015
13,"SA Maxwell|SA Acosta|GE Davis",1999
12,"Q Wu|J Zhang|W Koh|Q Yu|X Zhu|A Amsterdam|GE Davis|MA Arnaout",2015
11,"SLK Bowers|PR Norden|GE Davis",2016
11,"SA Maxwell|GE Davis",2004
9,GE Davis,2011
9,GE Davis,2010
9,GE Davis,2010
7,"SA Maxwell|SA Acosta|K Tombusch|GE Davis",1997
6,"GE Davis|KR Speichinger|PR Norden|DJ Kim|SLK Bowers",2015
6,"GE Davis|AN Stratman|A Sacharidou",2011
5,GE Davis,2012
5,"GE Davis|GA Meininger",1998
4,"DJ Kim|PR Norden|J Salvador|DM Barry|SLK Bowers|O Cleaver",2017
4,"Y Zhang|X Wang|K Loesch|LA May|GE Davis|J Jiang|SJ Frank",2016
4,"GE Davis|OB Cleaver",2014
4,American Heart Association,2007
4,"GE Davis|KJ Bayless",2002
3,"Y Yang|X Wu|P Gui|J Wu|JZ Sheng|S Ling|AP Braun|GE Davis",2009
3,"JS Xu|D Rodriguez|E Petitclerc|JJ Kim|M Hangai|YS Moon|GE Davis",2001
2,"X Liu|X Gu|W Ma|M Oxendine|HJ Gil|GE Davis|O Cleaver|G Oliver",2018
2,"AC Chan|SG Drakos|OE Ruiz|ACH Smith|CC Gibson|J Ling|SF Passi",2012
2,"AN Stratman|DJ Kim|A Sacharidou|KR Speichinger|GE Davis",2012
2,"KE Richardson|P Tannous|K Berenji|B Nolan|KJ Bayless|GE Davis",2005
2,"P Gui|BB Balasubramanian|X Wu|S Ling|S Stotz|E Wilson",2004
2,"G Davis|S Bell",2002
1,"CRE Craig Beam|BC Berk|T Byzova|P Carmeliet|W Chilian|JP Cooke",2015
1,"MD Pulido|GE Davis|A Parrish",2004
1,"PC Gui|E Wilson|GW Zamponi|A Braun|GE Davis|MJ Davis",2002
1,"X Wu|G Davis|G Meininger|E Wilson|M Davis",2000
1,"G Meininger|K Waitkus|T Hein|L Kuo|S Mousa|G Davis",1999
1,"GE Davis|CW Camarillo",1994
1,"SN Blaker|GE Davis|M Manthorpe|E Engvall|S Varon|FH Gage",1988
1,"E Hewitt|M Manthorpe|SD Skaper|GE Davis|S Varon",1983
1422,"FD Kolodgie|HK Gold|AP Burke",2003
573,"W Gamble|M Vaughan|HS Kruth|J Avigan",1978
392,"PG Pentchev|ME Comly|HS Kruth",1985
393,"CA Curcio|CL Millican|T Bailey",2001
263,"SW Waldo|Y Li|C Buono|B Zhao|EM Billings",2008
259,"HS Kruth|NL Jones|W Huang|B Zhao|I Ishii",2005
232,"N Vyavahare|D Hirsch|E Lerner|JZ Baskin",1997
215,"EJ Blanchette-Mackie|NK Dwyer",1988
181,"CA Curcio|JB Presley|G Malek|NE Medeiros",2005
167,"WY Zhang|PM Gaynor|HS Kruth",1996
151,"HS Kruth|ME Comly|JD Butler|MT Vanier",1986
155,"HS Kruth|W Huang|I Ishii|WY Zhang",2002
141,"RC Braylan|NA Benson|V Nourse",1982
130,"M Cusick|EY Chew|CC Chan|HS Kruth|RP Murphy",2003
118,HS Kruth,1982
121,HS Kruth,2002
115,"CM Li|BH Chung|JB Presley|G Malek",2005
99,"JS Weiss|HS Kruth|H Kuivaniemi",2007
101,HS Kruth,1985
98,"P Lesnik|M Rouis|S Skarlatos",1992
94,"HS Kruth|SI Skarlatos|PM Gaynor",1994
96,HS Kruth,2001
90,"BM Bayer|HS Kruth|M Vaughan|MA Beaven",1979
86,"D Hirsch|R Azoury|S Sarig|HS Kruth",1993
83,"C Buono|JJ Anzinger|M Amar",2009
78,"HS Kruth|SI Skarlatos|K Lilly|J Chang",1995
82,HS Kruth,2011
78,"FF Chao|EJ Blanchette-Mackie|YJ Chen",1990
76,"HS Kruth|J Avigan|W Gamble",1979
73,HS Kruth,1985
69,"B Zhao|Y Li|C Buono|SW Waldo|NL Jones",2006
71,"DN Mukhin|FF Chao|HS Kruth",1995
68,HS Kruth,1997
67,"S Sarig|TA Weiss|I Katz|F Kahana",1994
65,"AH Milam|CA Curcio|AV Cideciyan|S Saxena",2000
65,"HS Kruth|M Vaughan",1980
61,"ML Nickerson|BN Kostiha|W Brandt|W Fredericks",2010
58,"WY Zhang|PM Gaynor|HS Kruth",1997
60,"HS Kruth|I Ifrim|J Chang|L Addadi|D Perl-Treves",2001
53,"JS Weiss|HS Kruth|H Kuivaniemi",2008
54,HS Kruth,1984
52,"ML Nickerson|AD Bosley|JS Weiss",2013
52,"JJ Anzinger|J Chang|Q Xu|C Buono|Y Li",2010
50,"WJ Fredericks|T McGarvey|H Wang|P Lal",2011
50,"JD Butler|ME Comly|HS Kruth",1987
48,"HS Kruth|RC Braylan|NA Benson|VA Nourse",1981
50,HS Kruth,1985
47,"HS Kruth|DL Fry",1984
46,"MM Rodrigues|HS Kruth|JH Krachmer",1987
45,"PM Gaynor|WY Zhang|JS Weiss",1996
45,"HS Kruth|J Chang|I Ifrim|WY Zhang",1999
38,"JS Weiss|MM Rodrigues|HS Kruth|S Rajagopalan",1992
36,"HT Ma|WW Lin|B Zhao|WT Wu|W Huang|Y Li",2006
35,"C Buono|Y Li|SW Waldo|HS Kruth",2007
34,HS Kruth,1997
33,"CE Argoff|ME Comly|J Blanchette-Mackie",1991
29,"FF Chao|EJ Blanchette-Mackie|BF Dickens",1994
30,"DS Ong|JJ Anzinger|FJ Leyva|N Rubin|L Addadi",2010
