Source,Publisher,Year
American journal of respiratory and critical care medicine,,2015
Proceedings of the National Academy of Sciences,,2016
Circulation research,,2011
American journal of respiratory and critical care medicine,,2015
European heart journal,,2014
American journal of respiratory and critical care medicine,,2017
Journal of cellular and molecular medicine,,2012
Journal of proteome research,,2012
Nature biomedical engineering,,2017
Circulation,,2017
Current protocols in human genetics,,2018
Circulation 128 suppl_22 A16710 A,,2013
B59,SHOOT THE CURL: SPLASHING INTO MECHANISMS OF ENDOTHELIAL CELL FUNCTION …,2018
Circulation research,,2019
D54 TO LIVE AND LET DIE THE ENDOTHELIUM IN PAH A6750 A,,2019
CIRCULATION RESEARCH 123 12 E70,,2018
Circulation 136 suppl_1 A14482 A,,2017
Circulation 136 suppl_1 A16861 A,,2017
Circulation 136 Suppl_1,,2017
Arteriosclerosis Thrombosis and Vascular Biology 36 suppl_1 A596 A,,2016
Circulation 130 suppl_2 A20459 A,,2014
,,2012
,,2011
Science,,1989
Science,,1991
Proceedings of the National Academy of Sciences,,1987
The Journal of clinical investigation,,1995
The Journal of Immunology,,1986
The Journal of clinical investigation,,1993
Cell,,1997
Nature,,1999
The Journal of clinical investigation,,1985
Journal of biomechanical engineering,,1981
Proceedings of the National Academy of Sciences,,1986
Journal of Experimental Medicine,,1972
Journal of Experimental Medicine,,1984
Annals of the New York Academy of Sciences,,2000
Journal of the National Cancer Institute,,1974
Proceedings of the National Academy of Sciences,,1996
The Journal of cell biology,,1974
The Journal of clinical investigation,,1992
Proceedings of the National Academy of Sciences,,1986
Nature,,1977
The Journal of Immunology,,1992
Progress in hemostasis and thrombosis,,1976
Arteriosclerosis and thrombosis a journal of vascular biology,,1993
The Journal of Immunology,,1986
Journal of Experimental Medicine,,1983
Proceedings of the National Academy of Sciences,,1993
Journal of Experimental Medicine,,1991
The Journal of clinical investigation,,1994
Proceedings of the National Academy of Sciences,,2004
The FASEB Journal,,1995
Proceedings of the National Academy of Sciences,,1984
American journal of respiratory and critical care medicine,,2003
Journal of Biological Chemistry,,1988
Journal of Experimental Medicine,,2004
The Journal of clinical investigation,,2006
Proceedings of the National Academy of Sciences,,2001
Arteriosclerosis and thrombosis a journal of vascular biology 14 11,,1994
Arteriosclerosis and thrombosis a journal of vascular biology 12 11,,1992
Nature,,1983
Science,,1989
The Journal of Immunology,,1987
Science,,1986
Nature genetics,,2000
Journal of Biological Chemistry,,1986
Journal of Experimental Medicine,,1986
The Journal of clinical investigation,,1997
Molecular medicine today,,1999
The Journal of Immunology,,1991
Circulation research,,2016
The Journal of cell biology,,1994
The Journal of clinical investigation,,1984
Cell,,1991
The Journal of immunology,,1991
American Journal of Physiology Cell Physiology 262 2 C384 C,,1992
The Journal of clinical investigation,,1994
The American journal of pathology,,1985
Proceedings of the National Academy of Sciences,,1997
The Journal of clinical investigation,,1995
Arteriosclerosis thrombosis and vascular biology,,1999
The American journal of pathology,,1999
The Journal of clinical investigation,,1986
Developmental biology,,2001
The Journal of Cell Biology,,1982
The American journal of cardiology 75 6 67B 70B,,1995
Journal of applied physiology,,2008
The Journal of Immunology,,1981
The Journal of Immunology,,1989
The Journal of Immunology,,1991
Journal of Biological Chemistry,,2002
Circulation research 96 5 e48,,2005
Hypertension 7 3_pt_1,,1985
The Journal of Immunology,,1988
Nature,,1969
Arteriosclerosis thrombosis and vascular biology,,1997
The American journal of pathology,,1993
The Journal of clinical investigation,,1984
The Journal of cell biology,,1996
The Journal of cell biology,,1983
Laboratory investigation a journal of technical methods and pathology 33,,1975
Arteriosclerosis thrombosis and vascular biology,,2001
Transplantation,,1986
Proceedings of the National Academy of Sciences,,1991
Journal of Biological Chemistry,,1991
Proceedings of the National Academy of Sciences,,1997
Arteriosclerosis thrombosis and vascular biology,,1997
Journal of Biological Chemistry,,1985
Journal of Biological chemistry,,1987
Nature,,1980
The Journal of clinical investigation,,1985
Seminars in thrombosis and hemostasis,,1987
Journal of biomechanical engineering,,2002
US Patent 6,,2000
Cardiovascular pathology,,2013
Journal of Biological Chemistry,,2005
Proceedings of the National Academy of Sciences,,1998
The Journal of Immunology,,1990
Laboratory investigation a journal of technical methods and pathology 36,,1977
Circulation research,,2007
Review of Scientific Instruments,,1982
Journal of the National Cancer Institute,,1973
The American journal of pathology,,1993
Journal of Biological Chemistry,,1999
Journal of ultrastructure research,,1975
Proceedings of the National Academy of Sciences,,1982
Circulation research,,1982
Hypertension 7 3_pt_2 I,,1985
Proc Natl Acad Sci US A,,1986
Journal of Biological Chemistry,,1987
Circulation research,,1980
The American journal of pathology,,1988
Biorheology,,1984
Journal of biomechanical engineering,,1992
Journal of Experimental Medicine,,1992
Annals of the New York Academy of Sciences,,1994
The American journal of pathology,,2003
Circulation research,,1985
Journal of Biological Chemistry,,1987
Annals of the New York Academy of Sciences,,1997
The Journal of Immunology,,1987
The American journal of pathology,,1991
Blood,,1980
Proceedings of the National Academy of Sciences,,1976
The Journal of Immunology,,1992
The Journal of Immunology,,1993
Annals of the New York Academy of Sciences,,1990
Blood,,1992
The Journal of clinical investigation,,1984
Analytical and Quantitative Cardiology,,1997
The American journal of pathology,,1987
The American journal of pathology,,2004
European journal of biochemistry,,1984
Science,,1989
Circulation research,,1981
Cell,,1976
Prostaglandins leukotrienes and essential fatty acids 52 2 3,,1995
Journal of the National Cancer Institute,,1976
Circulation research,,1998
Laboratory investigation a journal of technical methods and pathology 42,,1980
Journal of Experimental Medicine,,2000
Vascular endothelium in hemostasis and thrombosis,,1986
The Journal of Immunology,,2000
Microcirculation 5 2 3,,1998
The Journal of cell biology,,1986
American Journal of Physiology Cell Physiology 286 5 C1195 C,,2004
Annals of the New York Academy of Sciences,,2001
Atherosclerosis V,,1980
Churchill Livingstone,,1986
Methods in Cell Science,,1978
Journal of leukocyte biology,,1992
Molecular pharmacology,,1983
American Journal of Physiology Cell Physiology 250 6 C888 C,,1986
FEBS letters 245 1 2,,1989
US Patent 5,,1992
The Journal of cell biology,,1984
Cancer research 36 7 Part 2,,1976
The Journal of Immunology,,1998
The Journal of Immunology,,2003
Laboratory investigation a journal of technical methods and pathology 38,,1978
Microcirculation,,1995
Blood,,1989
Series haematologica 1968,,1973
Immunobiology 168 3 5,,1984
Arteriosclerosis thrombosis and vascular biology,,1998
The Journal of clinical investigation,,1988
Biochemical and biophysical research communications,,1980
Proceedings of the National Academy of Sciences,,1986
The Journal of clinical investigation,,1997
Atherosclerosis,,1979
American Journal of Physiology Heart and Circulatory Physiology 250,,1986
Laboratory investigation a journal of technical methods and pathology 50,,1984
Annals of the New York Academy of Sciences,,1982
American Journal of Physiology Heart and Circulatory Physiology 250,,1986
The Journal of Immunology,,1984
Journal of Biological Chemistry,,1981
Circulation research,,1996
Hypertension 9 6_pt_2 III,,1987
Journal of Biological Chemistry,,2001
Blood,,1982
Molecular basis of cardiovascular disease,,1999
Thrombosis research,,1987
Blood,,1981
In Molecular Cardiovascular Medicine,,1995
Journal of vascular surgery,,1999
Arterioscler Thromb,,1992
US Patent 5,,1997
Leukocyte emigration and its sequelae,,1987
Blood,,1983
Atherosclerosis reviews,,1993
Annals of the New York Academy of Sciences,,1987
The American journal of pathology,,1983
Biophysical journal,,1993
Circulation research,,1984
,CRC Press,2003
Vascular Injury and Atherosclerosis New York Marcel Dekker,,1981
Annals of the New York Academy of Sciences,,2000
Journal of cellular physiology,,1981
Life sciences,,1979
Circulation,,1998
US Patent 5,,1995
The Vascular Endothelium II,,2006
Microvascular research,,1979
Circulation research,,1982
Atherosclerosis and coronary artery disease,,1996
Journal of cardiac surgery,,1989
Federation Proceedings,,1982
Circulation research,,1986
Arteriosclerosis thrombosis and vascular biology,,1995
Laboratory investigation a journal of technical methods and pathology 75,,1996
Molecular pharmacology,,1985
The Journal of laboratory and clinical medicine,,1982
American journal of respiratory and critical care medicine,,1998
Hypertension 6 2_pt_2 I,,1984
Hypertension,,1980
Blood,,1986
US Patent 6,,2001
Journal of cellular physiology,,1990
Biochemical Journal,,1989
US Patent 7,,2007
Annals of the New York Academy of Sciences,,1997
Thrombosis and Haemostasis,,1987
BMC genomics,,2004
European journal of immunology,,2002
Biochemical pharmacology,,1990
Biochimica et Biophysica Acta BBA Gene Structure and Expression 1131,,1992
Endothelial cell dysfunctions,,1992
Transactions of the American Clinical and Climatological Association,,2010
Circulation research,,2015
US Patent 6,,2003
Annals of the New York Academy of Sciences,,2000
Cardiovascular Pathology,,2001
US Patent 5,,1995
Genome research,,2001
Adhesion Protein Protocols,,1999
Pathobiology of the endothelial cell,,1982
Microcirculation,,1994
Blood,,1989
Journal of molecular and cellular cardiology,,2002
US Patent 6,,2000
The Journal of Immunology,,1986
Federation Proceedings,,1985
American Journal of Physiology Heart and Circulatory Physiology 260,,1991
Biochimica et Biophysica Acta BBA Lipids and Lipid Metabolism,,1987
Journal of Biological Chemistry,,1987
CLINICAL RESEARCH 31 2 A332 A,,1983
European Journal of Endocrinology 68 2_Supplb S237 S,,1972
US Patent App 08,,2002
J Clin Invest,,1995
Biochimica et biophysica acta,,1992
Annals of the New York Academy of Sciences,,1994
FASEB JOURNAL 7 3 A2 A,,1993
J Immunol,,1986
Journal of cardiovascular pharmacology 7 S,,1985
Circulation,,1977
US Patent 5,,1994
Role of blood flow in atherogenesis,,1988
Laboratory investigation a journal of technical methods and pathology 46,,1982
Mechanical Forces and the Endothelium,,2003
Circulation 90 I,,1994
,"Seed B, Siegelman M, Springer T, Stoolman L, Tedder T, Varki A, Wagner D …",1991
FEDERATION PROCEEDINGS,,1987
Fluid Dynamics as a Localizing Factor for Atherosclerosis,,1983
FEDERATION PROCEEDINGS,,1980
EXPERIMENTAL HEMATOLOGY,,1978
Mononuclear Phagocytes,,1992
CRC Press Inc Boca Raton Florida,,1988
Federation Proceedings,,1986
Biology of endothelial cells,,1984
FEDERATION PROCEEDINGS,,1979
Elsevier,,2013
Monographs in pathology,,1995
Prostaglandins in Hematology,"MJ Silver, JB Smith, and JJ Kocsis, editors …",1977
Federation Proceedings,,1976
Journal of Vascular and Interventional Radiology,,1999
FASEB JOURNAL 6 4 A1592 A,,1992
Annals of the New York Academy of Sciences,,1981
FEDERATION PROCEEDINGS,,1975
Journal of Cell Biology 59 2 A109 A,,1973
Journal of leukocyte biology,,2000
US Patent 6,,2000
FASEB J 10 A,,1996
EXCERPTA MEDICA INTERNATIONAL CONGRESS SERIES,,1995
Leukocyte Adhesion Molecules,,1990
LABORATORY INVESTIGATION 56 1 A16 A,,1987
FEDERATION PROCEEDINGS,,1986
Circulation,,1979
Elsevier,,2013
US Patent 5,,1999
FASEB JOURNAL 2 6 A1603 A,,1988
Circulation,,1981
JOURNAL OF CELL BIOLOGY 91 2 A358 A,,1981
Circulation,,1980
Diabetes,,1978
Vascular endothelium physiology pathology and therapeutic opportunities,,1997
Thrombosis and Haemostasis,,1987
Circulation,,1986
FEDERATION PROCEEDINGS,,1986
Mononuclear Phagocytes,,1985
Biology of Endothelial Cells,,1984
Federation Proceedings,,1981
FEDERATION PROCEEDINGS,,1980
Lippincott Williams Wilkins,,1995
Bilingual and Bicultural Perspective The Innovation of Teaching Chinese as,,1993
FASEB JOURNAL 5 6 A1624 A,,1991
,"Springer T, Stoolman L, Tedder T, Varki A, Wagner D, Weissman I, Zimmerman G …",1991
CYTOGENETICS AND CELL GENETICS 58 3 4,,1991
JOURNAL OF GENERAL PHYSIOLOGY 88 6 A60 A,,1986
FEDERATION PROCEEDINGS,,1984
FEDERATION PROCEEDINGS,,1984
JOURNAL OF CELL BIOLOGY 95 2 A292 A,,1982
Thrombosis and Haemostasis,,1981
FEDERATION PROCEEDINGS,,1981
FASEB JOURNAL 5 6 A1602 A,,1991
FASEB JOURNAL 5 5 A1247 A,,1991
The Journal of Japan Atherosclerosis Society,,1989
FEDERATION PROCEEDINGS,,1987
Biorheology,,1986
BIOPHYSICAL JOURNAL 45 2 A85 A,,1984
CLINICAL RESEARCH 29 5 A830 A,,1981
Circulation,,1981
CLINICAL RESEARCH 28 2 A162 A,,1980
ANATOMICAL RECORD,,1976
Methods in enzymology,,1975
,Academic Press,2013
The FASEB Journal 22 1_supplement 471 11 471,,2008
Circulation,,2003
US Patent 6,,2002
US Patent 6,,2002
Journal of Vascular and Interventional Radiology,,1999
Circulation,,1998
FASEB JOURNAL 9 3 A272 A,,1995
Atherosclerosis,,1994
JOURNAL OF CELLULAR BIOCHEMISTRY,,1994
Arteriosclerosis and Thrombosis,,1993
FASEB JOURNAL 7 3 A344 A,,1993
Dejana E Human endothelial cells express integrin receptors on the luminal,,1992
Mononuclear Phagocytes,,1992
FASEB JOURNAL 5 5 A1438 A,,1991
,"Lasky L., McEver R., Paulson J., Rosen S., seed B., Siegelman M., Springer T …",1991
THROMBOSIS AND HAEMOSTASIS,,1989
Circulation,,1987
FEDERATION PROCEEDINGS,,1987
New Horizons in Platelet Activating Factor Research eds,CM Winslow and ML …,1987
Fed Proc Fed Am Soc Exp Biol United States 45 CONF 8604222,,1986
J Exp Med,,1985
Clinical Hemorheology,,1985
Circulation,,1985
CLINICAL RESEARCH 32 2 A157 A,,1984
The biology of the interferon system,,1983
JOURNAL OF CELL BIOLOGY 95 2 A285 A,,1982
Circulation,,1980
FEDERATION PROCEEDINGS,,1980
Vascular Smooth Muscle Cell in Culture 132 148,,
US Patent App 09,,2002
FASEB JOURNAL 16 4 A216 A,,2002
FASEB JOURNAL 16 4 A200 A,,2002
Circulation,,2001
US Patent 6,,2000
Circulation,,1999
US Patent 5,,1998
Circulation,,1996
Circulation,,1995
FASEB JOURNAL 9 3 A35 A,,1995
FASEB JOURNAL 8 4 A394 A,,1994
ASME PUBLICATIONS BED,,1994
THROMBOSIS AND HAEMOSTASIS,,1993
FASEB JOURNAL 7 3 A490 A,,1993
Structure Function and Regulation of Molecules Involved in Leukocyte,,1993
Circulation,,1992
FASEB JOURNAL 6 5 A1888 A,,1992
FASEB JOURNAL 6 4 A1030 A,,1992
Mononuclear Phagocytes,,1992
Faseb Journal 5 5 A1438 A,,1991
FASEB JOURNAL 2 6 A1603 A,,1988
Clinical Research 35 3 A571 A,,1987
JOURNAL OF CELL BIOLOGY 103 5 A10 A,,1986
Circulation,,1986
CLINICAL RESEARCH 34 2 A666 A,,1986
FEDERATION PROCEEDINGS,,1986
FEDERATION PROCEEDINGS,,1986
Thrombosis Research,,1986
Federation Proceedings,,1985
Hypertension,,1985
KIDNEY INTERNATIONAL,,1984
Fluid Dynamics as Localizing Factor for Atherosclerosis,,1983
Circulation,,1983
Circulation,,1982
Circulation,,1982
Circulation,,1981
Biochemical Society Transactions,,1980
FEDERATION PROCEEDINGS,,1976
FEDERATION PROCEEDINGS,,1975
MICROVASCULAR RESEARCH,,1973
,,2016
L annuaire du Collège de France Cours et travaux,,2014
Medicinski vjesnik 44 1 4,,2013
Mononuclear Phagocytes Biology of Monocytes and Macrophages,,2013
Cardiovascular Disease Cellular and Molecular Mechanisms Prevention and,,2012
Structure Function and Regulation of Molecules Involved in Leukocyte,,2012
Medicinski vjesnik 44 1 4,,2012
Atherosclerosis Supplements,,2009
The American journal of pathology,,2008
Cardiovascular Pathology,,2008
US Patent App 11,,2007
Arterioscler Thromb Vasc Biol,,2006
PAPEL DA PROTEÍNA SOCS3 SOBRE A MODULAÇÃO DO SINAL INTRACELULAR DA,,2006
Vascular Pharmacology,,2006
JOURNAL OF ATHEROSCLEROSIS AND THROMBOSIS,,2005
CIRCULATION,,2004
US Patent 6,,2004
Cardiovascular Pathology,,2004
US Patent App 10,,2003
JOURNAL OF THE AMERICAN COLLEGE OF SURGEONS 197 3 S97 S,,2003
US Patent App 10,,2003
FASEB JOURNAL 17 5 A799 A,,2003
Atherosclerosis Supplements,,2003
Atherosclerosis Supplements,,2003
US Patent App 09,,2002
US Patent App 09,,2002
US Patent App 09,,2002
Asian Journal of Biochemistry,,2002
Proceedings of the Second Joint 24th Annual Conference and the Annual Fall,,2002
European Journal of Immunology,,2002
,,2002
US Patent 6,,2001
Proceedings of the National Academy of Sciences of the United States of,,2001
ARTERIOSCLEROSIS THROMBOSIS AND VASCULAR BIOLOGY,,2001
The American journal of pathology,,2001
ASME PUBLICATIONS BED,,2001
Journal of Biological Chemistry,,2001
Atherosclerosis,,2000
Atherosclerosis,,2000
Annals of the New York Academy of Sciences 902 1 xiii xiv,,2000
American Journal of Hypertension 13 S2 323A,,2000
American Journal of Hypertension 4 13 S,,2000
INTERNATIONAL CONGRESS AND SYMPOSIUM SERIES ROYAL SOCIETY OF MEDICINE,,2000
New York Academy of Sciences,,2000
Circulation Hagertown 102 18 IIB,,2000
CIRCULATION,,1999
FASEB JOURNAL 13 5 A1019 A,,1999
FASEB JOURNAL 13 5 A1019 A,,1999
FASEB JOURNAL 13 4 A199 A,,1999
FASEB JOURNAL 13 4 A523 A,,1999
,,1999
Prostaglandins,,1999
Journal of Biological Chemistry,,1999
CIRCULATION,,1998
CIRCULATION,,1998
Circulation,,1998
Circulation 96 8S,,1997
Circulation 96 8S,,1997
Adhesion Molecules in Health and Disease,,1997
FASEB JOURNAL,,1997
BIOPHYSICAL JOURNAL 72 2 WP215 WP,,1997
Atherosclerosis 134 1 2,,1997
Journal of Vascular and Interventional Radiology,,1997
Atherosclerosis 134 1 2,,1997
Atherosclerosis,,1996
CIRCULATION,,1996
FASEB JOURNAL,,1996
Biotechnology Advances,,1996
CIRCULATION,,1995
CIRCULATION,,1995
CIRCULATION,,1995
THROMBOSIS AND HAEMOSTASIS,,1995
FASEB JOURNAL 9 3 A412 A,,1995
FASEB JOURNAL 9 3 A38 A,,1995
American Journal of Cardiology,,1995
ANNALS OF BIOMEDICAL ENGINEERING,,1995
Scientific American molecular cardiovascular medicine,,1995
Cardiovascular Disease,,1995
KIDNEY INTERNATIONAL,,1994
FASEB JOURNAL 8 4 A39 A,,1994
JOURNAL OF CELLULAR BIOCHEMISTRY,,1994
CIRCULATION,,1993
CIRCULATION,,1993
CIRCULATION,,1993
FASEB JOURNAL 7 4 A639 A,,1993
FASEB JOURNAL 7 3 A344 A,,1993
FASEB JOURNAL 6 4 A1592 A,,1992
FASEB JOURNAL 5 5 A1086 A,,1991
FASEB JOURNAL 5 5 A1246 A,,1991
FASEB JOURNAL 5 5 A1093 A,,1991
,,1990
Atherosclerosis II Recent Progress in Atherosclerosis Research the Second,,1990
The Journal of Japan Atherosclerosis Society,,1989
ARTERIOSCLEROSIS 8 5 A649 A,,1988
FASEB JOURNAL 2 5 A1407 A,,1988
FASEB JOURNAL 2 4 A811 A,,1988
CIRCULATION,,1987
Thrombosis and Haemostasis,,1987
CLINICAL HEMORHEOLOGY,,1987
LABORATORY INVESTIGATION 56 1 A51 A,,1987
Leukocyte Emigration and Its Sequelae Satellite Symposium of the 6th,,1987
Blood in contact with natural and artificial surfaces,,1987
CIRCULATION,,1986
CLINICAL RESEARCH 33 2 A553 A,,1985
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,,1985
CIRCULATION,,1985
FEDERATION PROCEEDINGS,,1985
CIRCULATION,,1985
CLINICAL RESEARCH 33 2 A360 A,,1985
LYMPHOKINE RESEARCH,,1984
FEDERATION PROCEEDINGS,,1984
CLINICAL RESEARCH 32 2 A472 A,,1984
CIRCULATION,,1984
CLINICAL RESEARCH 32 2 A339 A,,1984
HYPERTENSION,,1984
CIRCULATION,,1984
Biology of Endothelial Cells,,1984
CLINICAL RESEARCH 31 2 A458 A,,1983
FEDERATION PROCEEDINGS,,1983
FEDERATION PROCEEDINGS,,1983
THROMBOSIS AND HAEMOSTASIS,,1983
CIRCULATION,,1982
CIRCULATION RESEARCH,,1981
CIRCULATION,,1981
Thrombosis and Haemostasis,,1981
CLINICAL RESEARCH 29 2 A362 A,,1981
CIRCULATION,,1981
CLINICAL RESEARCH 29 2 A354 A,,1981
American Journal of Cardiology,,1980
CIRCULATION,,1980
CIRCULATION,,1980
FEDERATION PROCEEDINGS,,1980
Vascular neuroeffector mechanisms,,1980
Thrombosis and Haemostasis,,1979
Journal of Medical Sciences,,1979
CLINICAL RESEARCH 27 2 A467 A,,1979
CIRCULATION,,1979
CLINICAL RESEARCH 27 2 A304 A,,1979
MICROVASCULAR RESEARCH 17 3 S34 S,,1979
CIRCULATION,,1978
The Thrombotic Process in Atherogenesis,,1978
CIRCULATION,,1977
AMERICAN JOURNAL OF PATHOLOGY 70 2 A81 A,,1973
Perfusion techniques transactions of the fourth symposium held in New York,,1971
JOURNAL OF CLINICAL INVESTIGATION 48 6 A29,,1969
Annals of the New York Academy of Sciences,,
Annals of the New York Academy of Sciences,,
,,
,,
,,
,,
,,
,,
,,
Angiogenesis,,2018
JCI insight,,2018
Scientific reports,,2018
Scientific Reports,,2019
44th FEBS Congress Krakow Poland 9 Supplement 1,,2019
Cancer Research 79 13 Supplement,,2019
13th International Conference on Cerebral Vascular Biology CVB 2019,,2019
13th International Conference on Cerebral Vascular Biology CVB 2019,,2019
Cells,,2019
The FASEB Journal 33 1_supplement 477 14 477,,2019
The FASEB Journal 33 1_supplement 647 40 647,,2019
The FASEB Journal 33 1_supplement 368 9 368,,2019
ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,,2019
JoVE Journal of Visualized Experiments,,2019
The Extracellular Matrix Methods in Molecular Biology,,2019
Thrombosis and haemostasis,,2019
Bioorganic medicinal chemistry letters 28 23 24,,2018
ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,,2018
Bone Regeneration Concepts Clinical Aspects and Future Directions,,2018
EC Dental Science ECO,,2016
Annu Rev Biomed Eng,,2007
Diabetes,,1998
Circulation research 93 10 e136,,2003
Journal of internal medicine,,2006
Biochemical and biophysical research communications,,2007
Annual review of biomedical engineering,,2003
Proceedings of the National Academy of Sciences,,2004
Cardiovascular research,,2010
American Journal of Physiology Heart and Circulatory Physiology 260,,1991
Journal of biomechanical engineering,,2000
Journal of vascular research,,2000
Journal of biomechanical engineering,,1995
AIChE journal,,1982
American Journal of Physiology Heart and Circulatory Physiology 268,,1995
Annals of biomedical engineering,,2010
Annals of biomedical engineering,,2011
Annals of biomedical engineering,,2005
Arteriosclerosis thrombosis and vascular biology,,2000
Arteriosclerosis thrombosis and vascular biology,,2011
Science signaling 1 40 pt8 pt,,2008
Microvascular research,,2000
American Journal of Physiology Heart and Circulatory Physiology 281,,2001
American Journal of Physiology Heart and Circulatory Physiology 278,,2000
Journal of biomechanics,,1996
Annu Rev Fluid Mech,,2006
Journal of fluid mechanics,,1985
Journal of biomechanical engineering,,1994
Biorheology,,1990
American Journal of Physiology Heart and Circulatory Physiology 273,,1997
Journal of internal medicine,,2016
American Journal of Physiology Heart and Circulatory Physiology 306,,2013
Biorheology,,1993
Arteriosclerosis thrombosis and vascular biology,,2004
AIChE journal,,1990
Annual review of nutrition,,2017
Biochemical and biophysical research communications,,1996
Annals of biomedical engineering,,2005
American Journal of Physiology Heart and Circulatory Physiology 288,,2005
ASAIO journal American Society for Artificial Internal Organs 1992 39,,1993
Wiley Interdisciplinary Reviews Systems Biology and Medicine,,2013
American Journal of Physiology Heart and Circulatory Physiology 293,,2007
Annual review of fluid mechanics,,2014
The Journal of heart valve disease 3 S8 22 discussion S,,1994
PloS one,,2014
Journal of biomechanical engineering,,2004
Microvascular research,,1991
American Journal of Physiology Heart and Circulatory Physiology 297,,2009
Annual review of biomedical engineering,,2014
Arteriosclerosis thrombosis and vascular biology,,2000
Artificial organs,,2003
PloS one,,2012
American Journal of Physiology heart and Circulatory Physiology 282,,2002
Documenta Ophthalmologica,,1999
Journal of vascular research,,1992
Microvascular research,,1988
Journal of biomechanics,,1994
Journal of biomechanical engineering,,1996
Integrative Biology,,2014
PloS one,,2011
Journal of Fluid Mechanics,,1992
Journal of applied physiology,,2005
Journal of Applied Physiology,,1999
PloS one,,2011
American Journal of Physiology Heart and Circulatory Physiology 297,,2009
American Journal of Physiology Heart and Circulatory Physiology 287,,2004
Artificial Organs,,2000
Annals of biomedical engineering,,2000
Asaio Journal,,2004
Journal of biomechanical engineering 115 4A,,1993
Microvascular research,,2012
Journal of Applied Physiology,,2002
American Journal of Physiology Heart and Circulatory Physiology 296,,2009
Canadian Journal of Fisheries and Aquatic Sciences,,2000
Journal of biomechanical engineering,,1986
American Journal of Physiology Heart and Circulatory Physiology 298,,2009
PloS one,,2010
Bulletin of Mathematical Biology,,1987
AIChE journal,,1989
American Journal of Physiology Heart and Circulatory Physiology 286,,2004
Biochemical and biophysical research communications,,2002
Biomechanics and modeling in mechanobiology,,2013
Biotechnology and Bioengineering,,2012
Journal of biomechanics,,1988
Atherosclerosis,,2010
American Journal of Physiology Heart and Circulatory Physiology 292,,2007
Journal of biomechanical engineering,,1992
Journal of biomechanical engineering,,1994
Journal of biomechanical engineering,,1987
Journal of biomechanical engineering,,1995
ASAIO transactions 37 3 M,,1991
Journal of biomechanics,,1994
Circulation research,,1990
Experimental Physiology Translation and Integration,,1992
ASAIO transactions 37 3 M,,1991
ASAIO transactions 36 3 M,,1990
American Journal of Physiology Heart and Circulatory Physiology 305,,2013
ASAIO journal American Society for Artificial Internal Organs 1992 42,,1996
Journal of Fluid Mechanics,,1980
Artificial organs,,2001
Atherosclerosis,,2007
Annals of biomedical engineering,,2006
Investigative ophthalmology visual science,,2000
ASAIO transactions,,1989
Annals of biomedical engineering,,2001
Journal of biomechanical engineering,,1988
PloS one,,2015
The Journal of heart valve disease,,1998
Integrative Biology,,2013
Annals of biomedical engineering,,2000
American Journal of Physiology Heart and Circulatory Physiology 289,,2005
Journal of biomechanics,,2005
Journal of biomechanical engineering,,1997
Journal of biomechanical engineering,,1994
AIChE Journal,,1983
Journal of biomechanical engineering,,2001
ASAIO journal American Society for Artificial Internal Organs 1992 42,,1996
The Journal of heart valve disease,,1999
Journal of pharmacy and pharmacology,,2004
Microvascular research,,2001
The Journal of heart valve disease,,1996
Investigative ophthalmology visual science,,2008
Current eye research,,2000
Journal of tissue culture methods,,1992
Journal of biomechanical engineering,,1982
Experimental cell research,,2015
American Journal of Physiology Heart and Circulatory Physiology 300,,2010
Journal of biomechanical engineering,,2000
Current eye research,,1997
Cellular and molecular bioengineering,,2009
Journal of biomechanical engineering,,2004
Annals of biomedical engineering,,2002
Artificial organs,,1991
Journal of neural engineering,,2010
AIChE journal,,1987
PLoS One,,2013
Artificial organs,,2003
Biorheology,,1991
Separation Science and Technology,,1980
Journal of biomechanical engineering,,2006
Chemical Engineering Communications,,1996
PloS one,,2015
Atherosclerosis,,2016
Microcirculation,,2016
Annals of biomedical engineering,,2005
Artificial organs,,2001
Annals of biomedical engineering,,1997
Atherosclerosis,,2014
American Journal of Physiology Heart and Circulatory Physiology 289,,2005
Annals of biomedical engineering,,2007
Journal of biomechanical engineering,,2003
Annals of biomedical engineering,,2002
Annals of biomedical engineering,,1998
Biorheology,,1987
Chemical Engineering Science,,1977
Biophysical journal,,2007
Sensors and Actuators B Chemical,,2013
Microvascular research,,2004
Chemical Engineering Communications,,1999
Annals of biomedical engineering,,1998
Artificial organs,,1997
The Journal of heart valve disease,,2002
Advances in neural information processing systems,,2000
Circulation research,,1994
International journal of heat and mass transfer,,1993
JOURNAL OF PHYSIOLOGY LONDON 365 AUG P92 P,,1985
ASAIO transactions,,1991
Chemical Engineering Communications 42 1 3,,1986
American Journal of Physiology Heart and Circulatory Physiology 312,,2016
Chemical engineering science,,1993
The Biomedical Engineering Handbook Tissue Engineering and Artificial,,2000
Artificial organs,,1994
Journal of biomechanical engineering,,1986
The American journal of pathology,,2016
ASAIO journal,,2005
Chemical engineering communications,,1991
Sensing and bio sensing research,,2015
Journal of biomechanical engineering,,1983
AIChE Journal,,1983
Microvascular research,,2004
Journal of vascular research,,2003
Chemical Engineering Communications,,1993
Physicochemical Hydrodynamics,,1986
Biomaterials,,2011
